Name ,State,District,tehsil,village,shape_length,shape_area,longtitude,latitude,electricity,treated_water,electronics,phone,transport
Joganand (173),3,46,245,35739,0.10294926899800001,0.000488451270859,74.97094411963604,30.265491331003147,96.9,6.800000000000002,36.00000000000001,86.39999999999998,56.90000000000001
Gill Patti (71),3,46,245,35740,0.11730236492900001,0.0008106790200869999,74.93696771663555,30.27338418913564,97.3,46.2,36.266666666666666,87.2,62.9
Bhokhra (160),3,46,245,35741,0.14726965444499998,0.00110266008955,74.95281292850757,30.291768818781925,94.2,54.00000000000001,37.8,83.3,66.0
Khialiwala (159),3,46,245,35742,0.157965482004,0.0009555926096930001,74.98913975596366,30.30512032948741,99.3,55.1,32.13333333333333,81.4,50.4
Har Raipur Urf Bhokhri (158),3,46,245,35743,0.269580193767,0.00179122951953,74.98469942250007,30.32996763618462,95.2,67.9,35.0,78.2,43.7
Jandanwala (155),3,46,245,35744,0.20987066337699997,0.00217308804486,75.00413670328498,30.35226393612941,98.8,46.2,32.9,79.7,40.90000000000001
Khemuana (154),3,46,245,35745,0.151632136205,0.000763929033111,75.01299078987644,30.37715581731533,99.0,62.5,33.23333333333333,82.7,51.4
Jeeda (153),3,46,245,35746,0.040903804183699995,4.7068369478000005e-05,74.94674378522018,30.36007261697625,93.7,44.9,29.0,78.7,43.9
Chak Jandanwala (156),3,46,245,35747,0.03762533472,4.64269563488e-05,74.957948753413,30.357585118438074,100.0,100.0,33.333333333333336,100.0,200.0
Goniana Khurd (163),3,46,245,35750,0.14019397526900002,0.000482573687272,74.91348255900004,30.34644569896648,89.0,33.4,28.066666666666666,74.5,46.7
Chak Goniana kalan (164),3,46,245,35751,0.042665381338,9.40414095387e-05,74.92138252592326,30.34050062416725,100.0,0.0,33.333333333333336,100.0,100.0
Balahar Vinjhu (166),3,46,245,35752,0.105154039188,0.000535641583421,74.91833746051479,30.32580396185506,97.7,19.9,34.73333333333333,87.10000000000002,55.3
Amargarh (161),3,46,245,35753,0.109688621416,0.000489338394694,74.94394941296792,30.317865533947725,95.1,13.4,45.36666666666667,78.5,62.5
Nehianwala (167),3,46,245,35754,0.192672472007,0.00161065713721,74.90886867106435,30.295373093591536,97.7,41.0,34.13333333333333,82.6,52.3
Sibian (72),3,46,245,35755,0.167344404988,0.00129207640208,74.8950915890905,30.25958785649897,97.5,37.3,34.06666666666667,80.8,51.40000000000001
Mehma Sarja (168),3,46,245,35756,0.21362692790100002,0.0025943227408099997,74.86390431713153,30.298135044659766,96.0,49.3,31.03333333333333,78.80000000000003,49.4
Mehma Sawai (169),3,46,245,35757,0.234537482971,0.0015099495653399999,74.86431326389162,30.32983041062562,90.2,62.7,34.56666666666666,79.10000000000002,56.90000000000001
Chak Goniana Khurd (165),3,46,245,35758,0.047109733653999994,0.000131409168384,74.90415701145895,30.337901175101194,100.0,75.0,33.333333333333336,100.0,100.0
Akalia Kalan (8),3,46,245,35759,0.012573985793600001,1.9183816196000002e-08,74.8544283170001,30.376371822551732,95.1,34.1,30.36666666666667,72.1,48.3
Akalia Khurd (7),3,46,245,35760,0.08920958678810001,0.000307963376488,74.86927932147114,30.366373717768173,96.1,69.6,36.933333333333344,97.0,76.4
Balahar Mehma (170),3,46,245,35761,0.132574031121,0.000607004064619,74.86248568987912,30.345932679906927,94.4,31.9,34.56666666666667,81.2,57.2
Dan Singhwala (171),3,46,245,35762,0.199384566217,0.0014135870996599999,74.84570469400013,30.356491807334574,97.7,73.8,33.06666666666667,76.6,59.3
Warkandi (172),3,46,245,35763,0.0924040678172,0.000375642602318,74.83499835189473,30.38137327247284,94.8,9.1,36.93333333333333,72.19999999999997,33.8
Ablu (174),3,46,245,35765,0.452187639207,0.00341033081172,74.75922070500008,30.30428414821944,90.7,22.9,30.066666666666666,75.9,51.90000000000001
Mehma Sarkari (175),3,46,245,35766,0.103283743779,0.0005398165923019999,74.82244720438071,30.307768501328674,94.4,82.0,31.366666666666664,87.60000000000002,50.3
Mehma Bhagwana (176),3,46,245,35767,0.10353588590500001,0.000574850405785,74.81808438605293,30.285998784805713,99.7,12.1,36.8,86.39999999999998,54.4
Killi Nihal Singhwali (179),3,46,245,35768,0.10784667351800001,0.000524815453648,74.78164341384941,30.283357192368268,94.8,41.0,32.56666666666667,80.8,47.8
Burj Mehma (178),3,46,245,35769,0.140974126149,0.0011561540222,74.79515331400131,30.25993711795269,90.3,33.0,35.03333333333334,74.6,32.9
Deon (177),3,46,245,35770,0.209187885911,0.00202872665651,74.83464328743236,30.25753033007783,95.6,38.40000000000001,31.0,77.60000000000002,53.8
Buladewala (73),3,46,245,35771,0.111663833783,0.0006586947774309999,74.86132107211371,30.242680012349748,87.3,79.3,36.96666666666667,72.0,41.7
Behman Dewana (74),3,46,245,35772,0.26683615410399997,0.0016402334044600003,74.84743798991963,30.226542888198594,98.5,29.6,32.63333333333333,81.1,47.0
Bir Behman (75),3,46,245,35773,0.10923137512900001,0.000654481092454,74.86046010285452,30.202633137807542,97.5,39.3,32.6,75.0,52.8
Chugha Khurd (76),3,46,245,35774,0.13038979926,0.0008191696566760002,74.82885178840189,30.20024155291708,97.6,33.4,31.5,67.1,49.3
Baluana (77),3,46,245,35775,0.207332422571,0.0016762701352899998,74.78741753078953,30.223011151331892,94.1,55.3,32.86666666666667,85.0,43.7
Virk Kalan (181),3,46,245,35776,0.15813749511800002,0.00129132500407,74.74805901428897,30.25685682206614,91.6,31.8,31.6,76.2,45.7
Virk Khurd (182),3,46,245,35777,0.148517190238,0.0006409422743580001,74.73086839200009,30.238598673404173,91.0,86.6,29.466666666666665,69.4,37.8
Karamgarh Sattran (78),3,46,245,35778,0.11327311873,0.000483117271734,74.73738171684694,30.222119374391585,95.5,42.2,28.33333333333333,69.0,42.7
Sardargarh (80),3,46,245,35779,0.15515841253499998,0.000929686076263,74.73513149262806,30.202955979416746,85.6,60.1,33.4,70.3,49.9
Chugha Kalan (79),3,46,245,35780,0.19992215702399999,0.00172033420848,74.77328132978272,30.19549262207437,94.8,70.89999999999998,34.2,79.7,43.1
Jhumba (5),3,46,245,35781,0.18512887467,0.00167357056645,74.77100255122423,30.161968170469088,93.9,25.5,30.9,69.89999999999999,42.7
Teona (4),3,46,245,35782,0.140807163664,0.00123308320867,74.81425329730814,30.17449970835179,95.5,30.9,29.4,68.2,49.2
Multania (67),3,46,245,35783,0.13950537479699998,0.0007371846389839999,74.85296311650006,30.182252512974056,98.5,56.1,45.33333333333334,89.0,71.2
Birtalab Urf Talab Neehar (68),3,46,245,35784,0.117317262763,0.000499839708156,74.87832043050014,30.18271119919342,85.9,9.1,22.966666666666665,48.2,19.9
Naruana (65),3,46,245,35785,0.182635232463,0.0013507698243900002,74.88669929910293,30.16091063773973,96.6,36.5,37.13333333333333,83.9,56.2
Mian (66),3,46,245,35786,0.09033155965160002,0.00038615140352299995,74.85342078210022,30.163865010729925,99.5,13.3,42.03333333333333,54.8,55.3
Baho Sibian Patti Basawa Singh (2),3,46,245,35787,0.0950948819374,0.00015904147855600001,74.83942566139717,30.157665468911663,96.5,7.1,39.23333333333334,94.2,81.1
Baho Sibian Patti Dharam Singh (1),3,46,245,35788,0.06997152687250001,0.00016748156246399997,74.82710464184225,30.155397672335084,93.1,29.8,37.53333333333333,91.9,58.6
Baho Jattri (3),3,46,245,35789,0.0825571554671,0.000364307734851,74.81019409430495,30.148071683068967,99.0,0.0,54.23333333333333,90.2,53.4
Jai Singhwala (91),3,46,245,35790,0.18361961562800003,0.00173177996055,74.84706381006298,30.134070055605434,96.1,64.7,29.200000000000006,77.6,43.3
